"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 10월 16일","13,033,000","13,220,000","13,220,000","13,033,000","0.30K","-1.41%"
"2020년 10월 15일","13,219,000","13,149,000","13,219,000","13,149,000","0.63K","0.53%"
"2020년 10월 14일","13,149,000","13,114,000","13,149,000","13,063,000","0.48K","0.27%"
"2020년 10월 13일","13,114,000","13,180,000","13,180,000","13,114,000","0.33K","-0.46%"
"2020년 10월 12일","13,174,000","12,925,000","13,174,000","12,925,000","0.80K","1.93%"
"2020년 10월 11일","12,925,000","12,851,000","12,950,000","12,851,000","0.44K","0.58%"
"2020년 10월 10일","12,851,000","12,624,000","12,851,000","12,624,000","0.39K","1.83%"
"2020년 10월 09일","12,620,000","12,566,000","12,620,000","12,521,000","0.32K","0.43%"
"2020년 10월 08일","12,566,000","12,410,000","12,566,000","12,403,000","0.39K","1.27%"
"2020년 10월 07일","12,409,000","12,418,000","12,418,000","12,409,000","0.31K","-0.07%"
"2020년 10월 06일","12,418,000","12,529,000","12,529,000","12,418,000","0.66K","-0.89%"
"2020년 10월 05일","12,529,000","12,455,000","12,529,000","12,430,000","0.36K","0.63%"
"2020년 10월 04일","12,451,000","12,385,000","12,451,000","12,385,000","0.34K","0.53%"
"2020년 10월 03일","12,385,000","12,432,000","12,432,000","12,377,000","0.22K","-0.38%"
"2020년 10월 02일","12,432,000","12,435,000","12,435,000","12,432,000","0.30K","-0.09%"
"2020년 10월 01일","12,443,000","12,547,000","12,617,000","12,443,000","1.30K","-0.83%"
"2020년 09월 30일","12,547,000","12,598,000","12,598,000","12,494,000","0.35K","-0.40%"
"2020년 09월 29일","12,598,000","12,452,000","12,598,000","12,452,000","0.42K","1.19%"
"2020년 09월 28일","12,450,000","12,500,000","12,500,000","12,450,000","0.68K","-0.40%"
"2020년 09월 27일","12,500,000","12,489,000","12,520,000","12,489,000","0.53K","0.09%"
"2020년 09월 26일","12,489,000","12,441,000","12,489,000","12,441,000","0.30K","0.39%"
"2020년 09월 25일","12,441,000","12,495,000","12,495,000","12,441,000","0.60K","-0.43%"
"2020년 09월 24일","12,495,000","11,949,000","12,495,000","11,949,000","1.22K","4.60%"
"2020년 09월 23일","11,946,000","12,329,000","12,329,000","11,946,000","1.09K","-3.08%"
"2020년 09월 22일","12,326,000","12,270,000","12,326,000","12,225,000","0.49K","0.49%"
"2020년 09월 21일","12,266,000","12,823,000","12,823,000","12,266,000","1.07K","-4.36%"
"2020년 09월 20일","12,825,000","12,919,000","12,919,000","12,805,000","0.51K","-0.73%"
"2020년 09월 19일","12,919,000","12,769,000","12,919,000","12,769,000","0.10K","1.17%"
"2020년 09월 18일","12,769,000","12,786,000","12,786,000","12,704,000","0.56K","-0.13%"
"2020년 09월 17일","12,786,000","12,897,000","12,897,000","12,786,000","0.56K","-0.88%"
"2020년 09월 16일","12,900,000","12,803,000","12,900,000","12,803,000","0.93K","0.76%"
"2020년 09월 15일","12,803,000","12,633,000","12,827,000","12,633,000","0.63K","1.35%"
"2020년 09월 14일","12,633,000","12,368,000","12,633,000","12,368,000","0.81K","2.17%"
